update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
97,1589248,33.36476743221283,33.36476743221283,32.283753752708435,45.38523256778717,46.466246247291565,0.02,0.375,0.00045,0.0018316691656991679
98,1605632,32.85352945327759,32.85352945327759,32.137102484703064,45.89647054672241,46.612897515296936,0.02,0.375,0.00045,0.0030069523692077384
99,1622016,32.32321500778198,32.32321500778198,31.70822322368622,46.42678499221802,47.04177677631378,0.02,0.375,0.00045,0.002741546277411544
100,1638400,32.459134459495544,32.459134459495544,31.756640076637268,46.290865540504456,46.99335992336273,0.02,0.375,0.00045,0.0002345248748099493
101,1654784,32.21432626247406,32.21432626247406,32.14071452617645,46.53567373752594,46.60928547382355,0.02,0.375,0.00045,0.00038952660626705437
102,1671168,32.760626673698425,32.760626673698425,32.68638610839844,45.989373326301575,46.06361389160156,0.02,0.375,0.00045,0.0035421419790111486
103,1687552,33.247987031936646,33.247987031936646,32.35706150531769,45.502012968063354,46.39293849468231,0.02,0.375,0.00045,0.0023843745020485584
104,1703936,32.8364497423172,32.8364497423172,32.00985550880432,45.9135502576828,46.74014449119568,0.02,0.375,0.00045,0.0012625311366605274
105,1720320,33.40304255485535,33.40304255485535,32.134265303611755,45.34695744514465,46.615734696388245,0.02,0.375,0.00045,0.003583790376762863
106,1736704,32.8651225566864,32.8651225566864,31.953174471855164,45.8848774433136,46.796825528144836,0.02,0.375,0.00045,0.0038030589990739826
107,1753088,33.29563498497009,33.29563498497009,31.360591053962708,45.45436501502991,47.38940894603729,0.02,0.375,0.00045,0.0025388418586715033
108,1769472,32.830379009246826,32.830379009246826,31.52455747127533,45.919620990753174,47.22544252872467,0.02,0.375,0.00045,0.0024503367775821515
109,1785856,33.32075834274292,33.32075834274292,31.96151614189148,45.42924165725708,46.78848385810852,0.02,0.375,0.00045,0.002942942129607218
110,1802240,33.763588070869446,33.763588070869446,32.16314375400543,44.986411929130554,46.58685624599457,0.02,0.375,0.00045,0.0017784108443152035
111,1818624,34.29355978965759,34.29355978965759,32.25532531738281,44.45644021034241,46.49467468261719,0.02,0.375,0.00045,0.003664414605327693
112,1835008,34.563923478126526,34.563923478126526,32.261372208595276,44.186076521873474,46.488627791404724,0.02,0.375,0.00045,0.0002563030418400558
113,1851392,34.96359348297119,34.96359348297119,32.44162857532501,43.78640651702881,46.30837142467499,0.02,0.375,0.00045,0.0026435870679733854
114,1867776,35.35204291343689,35.35204291343689,32.08928167819977,43.39795708656311,46.66071832180023,0.02,0.375,0.00045,0.002279645979911038
115,1884160,34.83542859554291,34.83542859554291,32.69026041030884,43.91457140445709,46.05973958969116,0.02,0.375,0.00045,0.004191549076836054
116,1900544,35.00009834766388,35.00009834766388,32.455599904060364,43.74990165233612,46.294400095939636,0.02,0.375,0.00045,0.0004285171483729755
117,1916928,34.74721968173981,34.74721968173981,32.62224555015564,44.00278031826019,46.12775444984436,0.02,0.375,0.00045,0.00031969972634442455
118,1933312,34.198976159095764,34.198976159095764,32.45824933052063,44.551023840904236,46.29175066947937,0.02,0.375,0.00045,0.003199226878814443
119,1949696,33.70630204677582,33.70630204677582,32.305503487586975,45.04369795322418,46.444496512413025,0.02,0.375,0.00045,0.0019020539730718155
120,1966080,33.858657479286194,33.858657479286194,32.06442356109619,44.891342520713806,46.68557643890381,0.02,0.375,0.00045,0.00016726353069316247
121,1982464,34.1142600774765,34.1142600774765,32.051841020584106,44.6357399225235,46.698158979415894,0.02,0.375,0.00045,0.0007583572899704904
122,1998848,34.61957633495331,34.61957633495331,32.148650884628296,44.13042366504669,46.601349115371704,0.02,0.375,0.00045,0.0028617399669712993
123,2015232,34.13356304168701,34.13356304168701,31.985679864883423,44.61643695831299,46.76432013511658,0.02,0.375,0.00045,0.002125590859930071
124,2031616,33.65197837352753,33.65197837352753,32.4561482667923,45.09802162647247,46.2938517332077,0.02,0.375,0.00045,0.002181295712193787
125,2048000,33.19017946720123,33.19017946720123,31.91450595855713,45.55982053279877,46.83549404144287,0.02,0.375,0.00045,0.002716902001066046
126,2064384,32.694119811058044,32.694119811058044,31.901249885559082,46.055880188941956,46.84875011444092,0.02,0.375,0.00045,0.0030146135935979145
127,2080768,32.237756848335266,32.237756848335266,31.716120839118958,46.512243151664734,47.03387916088104,0.02,0.375,0.00045,0.002855211891790077
128,2097152,32.812268137931824,32.812268137931824,32.255223989486694,45.937731862068176,46.494776010513306,0.02,0.375,0.00045,0.0040348223853072795
129,2113536,32.386473417282104,32.386473417282104,31.663853526115417,46.363526582717896,47.08614647388458,0.02,0.375,0.00045,0.0016959464764511266
130,2129920,32.83661067485809,32.83661067485809,31.987223625183105,45.91338932514191,46.762776374816895,0.02,0.375,0.00045,0.0021697702405901963
131,2146304,33.3081579208374,33.3081579208374,31.887272596359253,45.4418420791626,46.86272740364075,0.02,0.375,0.00045,0.0018217197542185204
132,2162688,33.69789183139801,33.69789183139801,31.87589406967163,45.05210816860199,46.87410593032837,0.02,0.375,0.00045,0.0008708797359872733
133,2179072,33.2303261756897,33.2303261756897,32.074201703071594,45.5196738243103,46.675798296928406,0.02,0.375,0.00045,0.002820626203225629
134,2195456,33.69377315044403,33.69377315044403,31.794739365577698,45.05622684955597,46.9552606344223,0.02,0.375,0.00045,0.002364055775910856
135,2211840,33.201343417167664,33.201343417167664,32.06466495990753,45.548656582832336,46.68533504009247,0.02,0.375,0.00045,0.002193159210060003
136,2228224,32.68831431865692,32.68831431865692,32.232699394226074,46.06168568134308,46.517300605773926,0.02,0.375,0.00045,0.003902368712817861
137,2244608,32.501179575920105,32.501179575920105,32.440385818481445,46.248820424079895,46.309614181518555,0.02,0.375,0.00045,0.0004872147345736266
138,2260992,32.9956716299057,32.9956716299057,32.143736481666565,45.7543283700943,46.606263518333435,0.02,0.375,0.00045,0.0025996994287538653
139,2277376,33.462554812431335,33.462554812431335,32.18371033668518,45.287445187568665,46.56628966331482,0.02,0.375,0.00045,0.002881874291915665
140,2293760,33.67909550666809,33.67909550666809,32.42051064968109,45.07090449333191,46.32948935031891,0.02,0.375,0.00045,0.00033009644290586947
141,2310144,33.15029799938202,33.15029799938202,31.951952576637268,45.59970200061798,46.79804742336273,0.02,0.375,0.00045,0.0038979451512886954
142,2326528,32.59362041950226,32.59362041950226,32.11065888404846,46.15637958049774,46.63934111595154,0.02,0.375,0.00045,0.004247560115697979
143,2342912,32.933030128479004,32.933030128479004,31.84600830078125,45.816969871520996,46.90399169921875,0.02,0.375,0.00045,0.0010810279831787283
144,2359296,33.41862916946411,33.41862916946411,32.2031831741333,45.33137083053589,46.5468168258667,0.02,0.375,0.00045,0.0034333017111805473
145,2375680,33.90146851539612,33.90146851539612,32.050514817237854,44.84853148460388,46.699485182762146,0.02,0.375,0.00045,0.0020440025567950216
146,2392064,33.47473502159119,33.47473502159119,32.27074205875397,45.27526497840881,46.47925794124603,0.02,0.375,0.00045,0.0015796372212207644
147,2408448,33.92317056655884,33.92317056655884,31.403801441192627,44.82682943344116,47.34619855880737,0.02,0.375,0.00045,0.0020325263638142133
148,2424832,33.85476231575012,33.85476231575012,32.35633134841919,44.89523768424988,46.39366865158081,0.02,0.375,0.00045,0.0005394029751187191
149,2441216,34.15842115879059,34.15842115879059,31.7282235622406,44.59157884120941,47.0217764377594,0.02,0.375,0.00045,0.0017547901871694193
150,2457600,33.71509075164795,33.71509075164795,32.06884026527405,45.03490924835205,46.68115973472595,0.02,0.375,0.00045,0.0013411017042813
151,2473984,34.10782873630524,34.10782873630524,31.57767117023468,44.64217126369476,47.17232882976532,0.02,0.375,0.00045,0.001514844773907953
152,2490368,34.569764733314514,34.569764733314514,32.00964689254761,44.180235266685486,46.74035310745239,0.02,0.375,0.00045,0.001645945796332171
153,2506752,34.60530400276184,34.60530400276184,32.59719669818878,44.14469599723816,46.15280330181122,0.02,0.375,0.00045,0.000363031728511487
154,2523136,35.101011991500854,35.101011991500854,32.53207862377167,43.648988008499146,46.21792137622833,0.02,0.375,0.00045,0.002384810125738568
155,2539520,34.7676283121109,34.7676283121109,32.691187262535095,43.9823716878891,46.058812737464905,0.02,0.375,0.00045,0.0009194489243668613
156,2555904,34.453142285346985,34.453142285346985,31.804079413414,44.296857714653015,46.945920586586,0.02,0.375,0.00045,0.0011876730885433061
157,2572288,34.50922727584839,34.50922727584839,32.34181463718414,44.24077272415161,46.40818536281586,0.02,0.375,0.00045,9.570930297400082e-05
158,2588672,34.168530106544495,34.168530106544495,31.89626693725586,44.581469893455505,46.85373306274414,0.02,0.375,0.00045,0.0006718422428662052
159,2605056,34.67481195926666,34.67481195926666,32.30789065361023,44.07518804073334,46.44210934638977,0.02,0.375,0.00045,0.003034207836890346
160,2621440,35.19287467002869,35.19287467002869,32.16031849384308,43.55712532997131,46.58968150615692,0.02,0.375,0.00045,0.0022956813382620568
161,2637824,34.646490812301636,34.646490812301636,32.586825489997864,44.103509187698364,46.163174510002136,0.02,0.375,0.00045,0.0029414867399395915
162,2654208,34.74393844604492,34.74393844604492,32.45710790157318,44.00606155395508,46.29289209842682,0.02,0.375,0.00045,0.00013005658886413584
163,2670592,34.82626140117645,34.82626140117645,32.744303941726685,43.92373859882355,46.005696058273315,0.02,0.375,0.00045,4.906059177756106e-05
164,2686976,34.243006110191345,34.243006110191345,32.5793331861496,44.506993889808655,46.1706668138504,0.02,0.375,0.00045,0.0049530534187169906
165,2703360,34.1374671459198,34.1374671459198,31.999481320381165,44.6125328540802,46.750518679618835,0.02,0.375,0.00045,0.0002693252912081334
166,2719744,34.61955547332764,34.61955547332764,32.18139469623566,44.13044452667236,46.56860530376434,0.02,0.375,0.00045,0.0029223859137914587
167,2736128,35.05926489830017,35.05926489830017,32.65402674674988,43.69073510169983,46.09597325325012,0.02,0.375,0.00045,0.0024289484935138715
168,2752512,34.89117681980133,34.89117681980133,32.22002446651459,43.85882318019867,46.52997553348541,0.02,0.375,0.00045,0.00026719661813103814
169,2768896,35.26199519634247,35.26199519634247,32.24618196487427,43.48800480365753,46.50381803512573,0.02,0.375,0.00045,0.001150258717007091
170,2785280,35.746068358421326,35.746068358421326,32.74400591850281,43.003931641578674,46.00599408149719,0.02,0.375,0.00045,0.0024522521665744533
171,2801664,36.28060579299927,36.28060579299927,32.61693775653839,42.46939420700073,46.13306224346161,0.02,0.375,0.00045,0.0036055822555454142
172,2818048,35.85555613040924,35.85555613040924,33.0741411447525,42.89444386959076,45.6758588552475,0.019379310344827587,0.37241379310344824,0.00043965517241379305,0.003316191273086133
173,2834432,35.32638907432556,35.32638907432556,32.916167974472046,43.42361092567444,45.833832025527954,0.018758620689655173,0.36982758620689654,0.0004293103448275862,0.003688255116833261
174,2850816,34.79901611804962,34.79901611804962,32.25455939769745,43.95098388195038,46.49544060230255,0.01813793103448276,0.36724137931034484,0.00041896551724137927,0.0028977745945667267
175,2867200,34.30165708065033,34.30165708065033,32.685566544532776,44.44834291934967,46.064433455467224,0.017517241379310346,0.36465517241379314,0.0004086206896551724,0.003789313970639796
