lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.03,1500,0.1,0.0001,32,1.0,25.0,87.5,87.3727170132284,86.8903970748524,87.85503695160438,0.6096029251475983,0.6096029251475983,0.35503695160437587,0.4823199383759871,0.9646398767519742,1500.0,0.07028571641847448,Good,0.7160669128227957,False,success
0.03,1500,0.3,0.0001,128,0.5,25.0,87.5,87.5408387949069,87.29967882571901,87.78199876409481,0.2819987640948085,0.20032117428098672,0.2819987640948085,0.24115996918789762,0.48231993837579523,1500.0,0.11245462251703162,Excellent,0.34023075793238805,False,success
0.03,1500,0.8,0.0001,256,3.0,25.0,87.5,87.49995078124999,85.99998678125,88.99991478125,1.5000132187499986,1.5000132187499986,1.4999147812499984,1.4999639999999985,2.999927999999997,1.0,0.002840624999998903,Fair,1.800012685416665,False,success
0.03,2000,0.1,0.001,32,3.0,25.0,87.5,86.88907465211618,85.45937479502018,88.31877450921218,2.0406252049798184,2.0406252049798184,0.8187745092121759,1.4296998570959971,2.8593997141919942,2000.0,0.07065671536853557,Fair,2.3365651763990174,False,success
0.03,2000,0.3,0.001,128,2.0,25.0,87.5,87.49506733869879,86.4951393369708,88.49499534042678,1.0048606630292056,1.0048606630292056,0.9949953404267831,0.9999280017279943,1.9998560034559887,3.0,0.02522368497411276,Fair,1.2048612633748046,False,success
0.03,2000,1.0,1e-05,16,1.0,25.0,87.5,87.53906679587782,87.06250017684599,88.01563341490964,0.5156334149096438,0.43749982315401326,0.5156334149096438,0.4765666190318285,0.953133238063657,2000.0,0.0704141966726477,Good,0.6209467387160095,False,success
0.03,3000,0.2,1e-05,64,0.5,25.0,87.5,87.35163907332065,87.11900655036561,87.58427159627571,0.3809934496343885,0.3809934496343885,0.08427159627571257,0.23263252295505055,0.4652650459101011,3000.0,0.06702515336338699,Excellent,0.43751995422539863,False,success
0.03,3000,0.5,1e-05,256,0.5,25.0,87.5,87.45419900688421,87.22156648392902,87.68683152983941,0.2784335160709759,0.2784335160709759,0.18683152983940943,0.23263252295519266,0.4652650459103853,3000.0,0.05647894571856771,Excellent,0.3349600206620144,False,success
0.03,3000,1.0,0.0001,16,3.0,25.0,87.5,87.01054122598157,85.61474608825147,88.40633636371167,1.885253911748535,1.885253911748535,0.9063363637116737,1.3957951377301043,2.7915902754602087,3000.0,0.04088418434982333,Fair,2.1744129392945557,False,success
0.05,500,0.2,0.0001,64,2.0,25.0,87.5,87.46618085836351,86.4859825771467,88.44637913958032,1.0140174228532999,1.0140174228532999,0.9463791395803156,0.9801982812168077,1.9603965624336155,500.0,0.07075993370901257,Fair,1.2200570790966614,False,success
0.05,500,0.5,0.0001,256,1.0,25.0,87.5,87.51430272144384,87.02420358083533,88.00440186205236,0.5044018620523616,0.4757964191646664,0.5044018620523616,0.490099140608514,0.980198281217028,500.0,0.015716650155648715,Good,0.6124216901740644,False,success
0.05,500,1.0,0.001,32,1.0,25.0,87.5,87.499234375,86.999254375,87.999214375,0.5007456249999933,0.5007456249999933,0.499214374999994,0.49997999999999365,0.9999599999999873,1.0,0.015712500000000018,Good,0.6007616249999921,False,success
0.05,1000,0.2,0.001,128,0.5,25.0,87.5,87.49991796875,87.24992796875,87.74990796875,0.2500720312499993,0.2500720312499993,0.24990796874999432,0.24998999999999683,0.49997999999999365,1.0,0.001840624999999707,Excellent,0.3000800312499987,True,success
