step,method,q,seed,ablation,approx_kl,mean_kl_window
872448,TEL-PPO,40.0,42,baseline,,
876544,TEL-PPO,40.0,42,baseline,,
880640,TEL-PPO,40.0,42,baseline,,
884736,TEL-PPO,40.0,42,baseline,,
888832,TEL-PPO,40.0,42,baseline,,
892928,TEL-PPO,40.0,42,baseline,,
897024,TEL-PPO,40.0,42,baseline,,
901120,TEL-PPO,40.0,42,baseline,,
905216,TEL-PPO,40.0,42,baseline,,
909312,TEL-PPO,40.0,42,baseline,,
913408,TEL-PPO,40.0,42,baseline,,
917504,TEL-PPO,40.0,42,baseline,,
921600,TEL-PPO,40.0,42,baseline,,
925696,TEL-PPO,40.0,42,baseline,,
929792,TEL-PPO,40.0,42,baseline,,
933888,TEL-PPO,40.0,42,baseline,,
937984,TEL-PPO,40.0,42,baseline,,
942080,TEL-PPO,40.0,42,baseline,,
946176,TEL-PPO,40.0,42,baseline,,
950272,TEL-PPO,40.0,42,baseline,,
954368,TEL-PPO,40.0,42,baseline,,
958464,TEL-PPO,40.0,42,baseline,,
962560,TEL-PPO,40.0,42,baseline,,
966656,TEL-PPO,40.0,42,baseline,,
970752,TEL-PPO,40.0,42,baseline,,
974848,TEL-PPO,40.0,42,baseline,,
978944,TEL-PPO,40.0,42,baseline,,
983040,TEL-PPO,40.0,42,baseline,,
987136,TEL-PPO,40.0,42,baseline,,
991232,TEL-PPO,40.0,42,baseline,,
995328,TEL-PPO,40.0,42,baseline,,
999424,TEL-PPO,40.0,42,baseline,,
1003520,TEL-PPO,40.0,42,baseline,,
1007616,TEL-PPO,40.0,42,baseline,,
1011712,TEL-PPO,40.0,42,baseline,,
1015808,TEL-PPO,40.0,42,baseline,,
1019904,TEL-PPO,40.0,42,baseline,,
1024000,TEL-PPO,40.0,42,baseline,,
1028096,TEL-PPO,40.0,42,baseline,,
1032192,TEL-PPO,40.0,42,baseline,,
1036288,TEL-PPO,40.0,42,baseline,,
1040384,TEL-PPO,40.0,42,baseline,,
1044480,TEL-PPO,40.0,42,baseline,,
1048576,TEL-PPO,40.0,42,baseline,,
1052672,TEL-PPO,40.0,42,baseline,,
1056768,TEL-PPO,40.0,42,baseline,,
1060864,TEL-PPO,40.0,42,baseline,,
1064960,TEL-PPO,40.0,42,baseline,,
1069056,TEL-PPO,40.0,42,baseline,,
