step,method,q,seed,ablation,drift_effort
491520,TEL-PPO,25.0,1024,baseline,
495616,TEL-PPO,25.0,1024,baseline,
495616,TEL-PPO,25.0,1024,baseline,
495616,TEL-PPO,25.0,1024,baseline,
499712,TEL-PPO,25.0,1024,baseline,
499712,TEL-PPO,25.0,1024,baseline,
499712,TEL-PPO,25.0,1024,baseline,
503808,TEL-PPO,25.0,1024,baseline,
503808,TEL-PPO,25.0,1024,baseline,
503808,TEL-PPO,25.0,1024,baseline,
507904,TEL-PPO,25.0,1024,baseline,
507904,TEL-PPO,25.0,1024,baseline,
507904,TEL-PPO,25.0,1024,baseline,
512000,TEL-PPO,25.0,1024,baseline,
512000,TEL-PPO,25.0,1024,baseline,
512000,TEL-PPO,25.0,1024,baseline,
516096,TEL-PPO,25.0,1024,baseline,
516096,TEL-PPO,25.0,1024,baseline,
516096,TEL-PPO,25.0,1024,baseline,
520192,TEL-PPO,25.0,1024,baseline,
520192,TEL-PPO,25.0,1024,baseline,
520192,TEL-PPO,25.0,1024,baseline,
524288,TEL-PPO,25.0,1024,baseline,
524288,TEL-PPO,25.0,1024,baseline,
524288,TEL-PPO,25.0,1024,baseline,
528384,TEL-PPO,25.0,1024,baseline,
528384,TEL-PPO,25.0,1024,baseline,
528384,TEL-PPO,25.0,1024,baseline,
532480,TEL-PPO,25.0,1024,baseline,
532480,TEL-PPO,25.0,1024,baseline,
532480,TEL-PPO,25.0,1024,baseline,
536576,TEL-PPO,25.0,1024,baseline,
536576,TEL-PPO,25.0,1024,baseline,
536576,TEL-PPO,25.0,1024,baseline,
540672,TEL-PPO,25.0,1024,baseline,
540672,TEL-PPO,25.0,1024,baseline,
540672,TEL-PPO,25.0,1024,baseline,
544768,TEL-PPO,25.0,1024,baseline,
544768,TEL-PPO,25.0,1024,baseline,
544768,TEL-PPO,25.0,1024,baseline,
548864,TEL-PPO,25.0,1024,baseline,
548864,TEL-PPO,25.0,1024,baseline,
548864,TEL-PPO,25.0,1024,baseline,
552960,TEL-PPO,25.0,1024,baseline,
552960,TEL-PPO,25.0,1024,baseline,
552960,TEL-PPO,25.0,1024,baseline,
557056,TEL-PPO,25.0,1024,baseline,
557056,TEL-PPO,25.0,1024,baseline,
557056,TEL-PPO,25.0,1024,baseline,
561152,TEL-PPO,25.0,1024,baseline,
561152,TEL-PPO,25.0,1024,baseline,
561152,TEL-PPO,25.0,1024,baseline,
565248,TEL-PPO,25.0,1024,baseline,
565248,TEL-PPO,25.0,1024,baseline,
565248,TEL-PPO,25.0,1024,baseline,0.1988232135772705
569344,TEL-PPO,25.0,1024,baseline,
569344,TEL-PPO,25.0,1024,baseline,
569344,TEL-PPO,25.0,1024,baseline,
573440,TEL-PPO,25.0,1024,baseline,
573440,TEL-PPO,25.0,1024,baseline,
573440,TEL-PPO,25.0,1024,baseline,
577536,TEL-PPO,25.0,1024,baseline,
577536,TEL-PPO,25.0,1024,baseline,
577536,TEL-PPO,25.0,1024,baseline,
581632,TEL-PPO,25.0,1024,baseline,
581632,TEL-PPO,25.0,1024,baseline,
581632,TEL-PPO,25.0,1024,baseline,
585728,TEL-PPO,25.0,1024,baseline,
585728,TEL-PPO,25.0,1024,baseline,
585728,TEL-PPO,25.0,1024,baseline,
589824,TEL-PPO,25.0,1024,baseline,
589824,TEL-PPO,25.0,1024,baseline,
589824,TEL-PPO,25.0,1024,baseline,
593920,TEL-PPO,25.0,1024,baseline,
593920,TEL-PPO,25.0,1024,baseline,
593920,TEL-PPO,25.0,1024,baseline,
598016,TEL-PPO,25.0,1024,baseline,
598016,TEL-PPO,25.0,1024,baseline,
598016,TEL-PPO,25.0,1024,baseline,
602112,TEL-PPO,25.0,1024,baseline,
602112,TEL-PPO,25.0,1024,baseline,
602112,TEL-PPO,25.0,1024,baseline,
606208,TEL-PPO,25.0,1024,baseline,
606208,TEL-PPO,25.0,1024,baseline,
606208,TEL-PPO,25.0,1024,baseline,
610304,TEL-PPO,25.0,1024,baseline,
610304,TEL-PPO,25.0,1024,baseline,
610304,TEL-PPO,25.0,1024,baseline,
614400,TEL-PPO,25.0,1024,baseline,
614400,TEL-PPO,25.0,1024,baseline,
614400,TEL-PPO,25.0,1024,baseline,
618496,TEL-PPO,25.0,1024,baseline,
618496,TEL-PPO,25.0,1024,baseline,
618496,TEL-PPO,25.0,1024,baseline,
622592,TEL-PPO,25.0,1024,baseline,
622592,TEL-PPO,25.0,1024,baseline,
622592,TEL-PPO,25.0,1024,baseline,
626688,TEL-PPO,25.0,1024,baseline,
626688,TEL-PPO,25.0,1024,baseline,
626688,TEL-PPO,25.0,1024,baseline,
630784,TEL-PPO,25.0,1024,baseline,
630784,TEL-PPO,25.0,1024,baseline,
630784,TEL-PPO,25.0,1024,baseline,
634880,TEL-PPO,25.0,1024,baseline,
634880,TEL-PPO,25.0,1024,baseline,
634880,TEL-PPO,25.0,1024,baseline,
