Episode,Effort,Reward,Loss
613,64.08,4.13,5.9042
614,64.76,4.15,4.1149
615,66.0,4.16,5.3385
616,64.1,4.16,6.3913
617,63.66,4.13,8.7445
618,64.28,4.13,5.275
619,63.9,4.12,6.3669
620,65.02,4.19,3.8999
621,64.21,4.14,4.355
622,65.92,4.11,7.4345
623,65.62,4.22,6.4296
624,65.2,4.21,4.844
625,64.0,4.09,4.374
626,65.86,4.15,7.3621
627,63.35,4.19,7.2006
628,62.44,4.23,13.9334
629,64.23,4.17,3.992
630,65.83,4.12,8.1111
631,63.49,4.25,5.5045
632,64.21,4.15,3.824
633,64.81,4.19,4.5843
634,65.77,4.14,9.0535
635,63.56,4.22,4.8236
636,62.76,4.24,8.5464
637,64.78,4.18,4.6138
638,64.38,4.2,3.9772
639,65.89,4.19,10.288
640,65.13,4.19,5.6508
641,65.51,4.19,6.8013
642,64.13,4.21,4.1295
643,64.59,4.18,3.8446
644,63.04,4.32,10.0192
645,65.83,4.14,6.2811
646,62.4,4.19,15.9638
647,65.69,4.22,5.766
648,64.48,4.2,4.0057
649,63.58,4.23,6.6475
650,65.08,4.23,4.2697
651,65.02,4.18,4.1834
652,64.35,4.27,4.0434
653,65.24,4.22,4.832
654,66.38,4.2,10.7108
655,65.11,4.23,4.3031
656,64.52,4.21,4.0078
657,65.09,4.23,4.0089
658,64.36,4.2,4.5794
659,65.01,4.23,3.8881
660,65.84,4.19,5.1946
661,64.75,4.23,4.1635
662,65.64,4.09,4.2101
663,65.87,4.21,4.7012
664,66.32,4.19,5.8679
665,64.05,4.22,8.1434
666,64.5,4.15,5.9632
667,66.75,4.14,6.9629
668,64.35,4.15,6.9232
669,65.76,4.12,3.8659
670,64.32,4.21,7.1297
671,66.56,4.19,6.17
672,64.43,4.21,6.2926
673,65.58,4.15,3.8499
674,63.97,4.25,8.2699
675,67.2,4.09,11.1466
676,64.52,4.18,5.1004
677,62.95,4.13,14.6942
678,66.15,4.16,6.1017
679,64.69,4.1,3.9838
680,63.73,4.17,6.8249
681,65.7,4.12,5.4859
682,64.64,4.12,3.7926
683,66.13,4.14,8.4208
684,63.77,4.17,5.3782
685,65.47,4.11,5.3384
686,63.47,4.12,6.4102
687,65.31,4.13,4.966
688,65.62,4.14,6.2014
689,66.1,4.12,8.4705
690,65.32,4.13,4.6003
691,65.33,4.22,4.4036
692,66.24,4.12,7.1411
693,65.6,4.13,4.2122
694,65.34,4.08,3.7515
695,66.43,4.07,5.4909
696,66.2,4.11,4.2941
697,65.0,4.17,5.4853
698,66.13,4.05,3.741
699,65.82,4.09,3.9865
700,67.6,4.04,7.3609
701,65.24,4.13,6.616
702,66.64,4.11,3.8231
703,66.24,4.09,3.972
704,67.3,4.11,4.7279
705,66.9,4.12,3.8586
706,66.37,4.1,4.1143
707,67.05,4.07,3.8308
708,64.81,4.21,13.0651
709,64.93,4.09,11.374
710,64.83,4.1,11.1574
711,66.93,4.14,4.1206
712,67.71,4.13,7.5045
713,66.32,4.13,3.7993
714,68.46,4.16,14.3257
715,66.2,4.13,3.8022
716,66.16,4.12,3.8192
717,66.63,4.11,4.0009
718,65.02,4.15,7.3777
719,65.65,4.17,4.7347
720,66.38,4.21,3.9004
721,67.01,4.11,5.105
722,66.91,4.17,4.8626
723,65.21,4.15,5.9729
724,67.41,4.11,6.7563
725,66.45,4.12,3.8699
726,66.64,4.19,4.1035
727,67.7,4.16,7.6453
728,66.37,4.18,3.8533
729,66.86,4.07,3.944
730,67.56,4.09,5.4523
731,65.23,4.19,8.8941
732,64.65,4.18,13.7143
733,67.89,4.11,6.3505
734,68.1,4.13,7.4562
735,65.31,4.18,8.6407
736,66.11,4.2,4.8949
737,68.07,4.1,7.2653
738,66.35,4.23,4.2734
739,65.4,4.06,7.5205
740,66.42,4.06,3.8927
741,66.32,4.08,3.9487
742,66.71,4.06,3.7807
743,65.77,4.14,4.9102
744,65.5,4.16,5.5223
745,65.61,4.1,4.713
746,66.37,4.08,3.8494
747,66.15,4.01,3.7091
748,64.54,4.09,7.7283
749,66.39,4.03,4.4588
750,65.15,4.0,4.1984
751,64.25,4.02,7.049
752,65.83,4.11,4.1965
753,65.27,4.05,3.721
754,63.88,4.08,6.9206
755,63.55,4.07,7.8637
756,65.06,4.08,3.9249
757,65.48,3.99,5.2629
758,67.51,3.93,21.7964
759,65.15,4.05,4.5853
760,64.65,4.05,3.7467
761,65.02,4.05,4.0615
762,64.53,3.95,3.669
763,63.43,3.99,7.0174
764,65.8,4.02,6.0447
765,64.85,3.96,3.656
766,64.0,3.94,4.8607
767,65.45,4.01,4.5306
768,65.4,3.91,4.2418
769,66.16,4.03,6.9913
770,64.25,3.98,4.7102
771,65.18,3.96,3.6766
772,64.93,3.97,3.7085
773,65.71,3.92,4.2242
774,64.72,3.95,4.1066
775,64.46,3.96,4.8849
776,65.16,3.92,3.6238
777,65.06,3.96,3.7184
778,65.45,3.96,3.7301
779,65.73,3.93,4.0912
780,66.72,3.89,7.7047
781,65.59,3.95,3.7558
782,66.1,3.99,4.5653
783,67.18,3.86,8.8363
784,63.76,3.9,10.8549
785,63.5,3.88,13.4341
786,64.76,3.9,5.3979
787,64.99,3.83,4.3337
788,63.83,3.93,9.4639
789,65.96,3.88,4.1855
790,66.17,3.85,5.0772
791,66.72,3.9,8.0443
792,65.58,3.84,3.7999
793,65.5,3.86,3.6977
794,64.12,3.9,6.0638
795,67.16,3.82,10.6727
796,66.0,3.78,4.4321
797,65.22,3.82,3.5505
798,66.45,3.85,5.5297
799,66.88,3.81,6.9316
800,64.64,3.67,5.4207
801,65.42,3.88,3.823
802,66.15,3.7,3.5723
803,67.22,3.88,6.8051
804,68.02,3.78,10.8018
805,66.87,3.81,4.2597
806,65.71,3.71,4.3596
807,65.88,3.77,4.3624
808,66.94,3.73,3.5525
809,67.74,3.74,5.1569
810,68.34,3.72,7.2285
811,67.08,3.78,3.4722
812,68.04,3.87,4.7854
813,67.11,3.68,3.5537
814,67.26,3.69,3.5664
815,66.53,3.82,6.0296
816,67.9,3.79,3.5331
817,67.71,3.76,3.4703
818,68.53,3.74,4.2934
819,69.04,3.73,5.7329
820,68.38,3.75,3.6734
821,66.47,3.74,8.6567
822,68.6,3.74,3.7728
823,68.4,3.77,3.521
824,69.28,3.74,5.3138
825,65.49,3.79,19.1606
826,67.99,3.71,3.6193
827,68.31,3.66,3.3691
828,67.22,3.75,5.3642
829,70.49,3.8,13.7994
830,68.71,3.7,3.91
831,69.99,3.65,9.038
832,68.47,3.75,3.4851
833,65.96,3.71,14.6402
834,68.55,3.68,3.414
835,67.92,3.8,3.9765
836,69.03,3.74,4.1771
837,67.65,3.68,4.4513
838,69.45,3.78,5.6173
839,69.8,3.72,7.0295
840,68.58,3.73,3.443
841,67.09,3.73,7.3817
842,69.09,3.76,4.017
843,68.23,3.64,3.5635
844,68.71,3.64,3.375
845,68.17,3.76,3.8087
846,67.93,3.71,4.2251
847,69.81,3.74,6.2994
848,69.01,3.73,3.7611
849,69.29,3.78,4.3003
850,69.05,3.74,3.6877
851,68.88,3.68,3.4079
852,69.03,3.72,3.5006
853,68.28,3.68,4.051
854,69.81,3.65,4.8136
855,69.93,3.8,5.2061
856,68.67,3.73,3.7524
857,69.03,3.73,3.4549
858,69.69,3.66,3.7943
859,68.54,3.74,4.4701
860,69.62,3.75,3.6186
861,69.84,3.68,3.8064
862,69.54,3.75,3.4714
863,69.23,3.71,3.5168
864,69.76,3.71,3.5148
865,68.55,3.65,5.246
866,69.63,3.74,3.4442
867,70.28,3.75,4.3932
868,68.64,3.76,5.2281
869,68.39,3.78,6.2395
870,68.22,3.7,6.6797
871,70.42,3.58,4.9972
872,69.32,3.67,3.3829
873,70.09,3.67,4.3909
874,68.21,3.71,5.7077
875,69.75,3.79,3.9238
876,69.22,3.62,3.3294
877,70.89,3.61,8.4528
878,69.04,3.65,3.4264
879,71.1,3.61,9.3924
880,70.51,3.66,5.8084
881,67.18,3.66,12.9621
882,68.4,3.62,5.5263
883,68.39,3.71,5.6461
884,70.3,3.64,4.7391
885,69.56,3.7,3.4415
886,69.82,3.63,3.6584
887,69.64,3.62,3.4246
888,69.81,3.6,3.5993
889,69.22,3.57,3.3617
890,71.28,3.6,9.3189
891,70.4,3.64,4.6772
892,69.49,3.7,3.438
893,68.53,3.56,5.8259
894,70.81,3.53,5.1469
895,69.45,3.65,3.6324
896,71.26,3.65,6.7682
897,71.31,3.53,6.3471
898,69.32,3.71,4.5883
899,70.38,3.64,3.3997
900,69.36,3.56,4.8283
901,71.36,3.57,5.1671
902,69.37,3.61,5.2996
903,70.69,3.66,3.477
904,68.46,3.53,10.4742
905,71.88,3.61,7.0298
906,69.38,3.67,5.4918
907,69.18,3.57,6.1147
908,70.82,3.65,3.7128
909,70.62,3.58,3.4391
910,70.3,3.6,3.3039
911,71.08,3.56,4.4445
912,69.59,3.52,4.061
913,72.18,3.49,9.6871
914,69.18,3.58,5.5853
915,72.05,3.59,8.7057
916,71.29,3.54,4.717
917,70.73,3.62,3.4424
918,69.11,3.53,6.993
919,72.92,3.61,13.0023
920,71.79,3.65,5.5104
921,69.92,3.63,4.912
922,69.19,3.57,8.7305
923,71.33,3.62,3.5738
924,70.07,3.53,4.7518
925,71.45,3.59,3.682
926,69.87,3.57,5.5846
927,69.95,3.58,5.1694
928,72.31,3.57,6.7504
