Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
292,100.0,2.2084,-0.9978,-5.4199,0.0,0.000100,0.4318
293,0.0,4.75,1.3491,7.143,0.0,0.000100,0.4316
294,0.0,3.8116,0.4805,2.5,0.0,0.000100,0.4314
295,56.7,4.8032,1.3916,6.4697,0.0,0.000100,0.4312
296,86.6,2.4234,-0.8061,-4.1407,0.0,0.000100,0.431
297,66.77,3.5059,0.1948,0.8587,0.0,0.000100,0.4308
298,84.98,1.416,-1.7296,-8.7528,0.0,0.000100,0.4306
299,0.0,3.7158,0.393,2.0281,0.0,0.000100,0.4303
300,0.0,3.2086,-0.0759,-0.4781,0.0,0.000100,0.4301
301,0.0,3.7325,0.4086,2.1111,0.0,0.000100,0.4299
302,64.12,3.6589,0.3397,1.5385,0.0,0.000100,0.4297
303,49.71,4.7519,1.3486,6.2398,0.0,0.000100,0.4295
304,22.5,5.1902,1.7434,8.4314,0.0,0.000100,0.4293
305,24.51,4.9096,1.4763,7.0844,0.0,0.000100,0.429
306,17.73,3.6589,0.3219,1.5177,0.0,0.000100,0.4288
307,23.13,4.962,1.5177,7.3094,0.0,0.000100,0.4286
308,43.68,2.6537,-0.6092,-2.9346,0.0,0.000100,0.4284
309,82.89,3.6452,0.3054,1.4372,0.0,0.000100,0.4282
310,0.0,4.75,1.3206,6.9725,0.0,0.000100,0.428
311,21.3,3.0346,-0.2625,-1.3713,0.0,0.000100,0.4278
312,0.0,3.186,-0.1223,-0.7461,0.0,0.000100,0.4275
313,100.0,1.097,-2.0397,-11.0478,0.0,0.000100,0.4273
314,0.0,3.0938,-0.1998,-1.1628,0.0,0.000100,0.4271
315,22.13,3.4045,0.0867,0.332,0.0,0.000100,0.4269
316,27.09,5.111,1.654,7.8668,0.0,0.000100,0.4267
317,89.45,1.2301,-1.9086,-9.8463,0.0,0.000100,0.4265
318,62.69,2.2528,-0.967,-4.6553,0.0,0.000100,0.4263
319,69.42,4.1603,0.7817,3.6448,0.0,0.000100,0.4261
320,0.0,3.0827,-0.2076,-1.2067,0.0,0.000100,0.4258
321,67.96,3.667,0.3292,1.4765,0.0,0.000100,0.4256
322,0.0,3.0145,-0.2713,-1.5477,0.0,0.000100,0.4254
323,15.12,2.9998,-0.2843,-1.5147,0.0,0.000100,0.4252
324,49.36,4.9936,1.5491,7.1415,0.0,0.000100,0.425
325,70.81,3.7309,0.3846,1.7509,0.0,0.000100,0.4248
326,100.0,1.9744,-1.2316,-6.716,0.0,0.000100,0.4246
327,69.39,4.0337,0.6659,3.0874,0.0,0.000100,0.4244
328,0.0,3.0458,-0.2455,-1.4117,0.0,0.000100,0.4241
329,35.13,4.2835,0.896,4.1395,0.0,0.000100,0.4239
330,90.27,2.8232,-0.4532,-2.4213,0.0,0.000100,0.4237
