update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr
200,1638400,33.43093454837799,33.43093454837799,31.9432532787323,45.31906545162201,46.8067467212677,0.0019999999999999983,0.25,0.0003
201,1646592,33.025888204574585,33.025888204574585,32.02690839767456,45.724111795425415,46.72309160232544,0.0019999999999999983,0.25,0.0003
202,1654784,33.352113366127014,33.352113366127014,31.756839752197266,45.397886633872986,46.993160247802734,0.0019999999999999983,0.25,0.0003
203,1662976,33.65592122077942,33.65592122077942,31.896129846572876,45.09407877922058,46.853870153427124,0.0019999999999999983,0.25,0.0003
204,1671168,33.32339286804199,33.32339286804199,32.28544354438782,45.42660713195801,46.46455645561218,0.0019999999999999983,0.25,0.0003
205,1679360,32.94151484966278,32.94151484966278,31.79120182991028,45.80848515033722,46.95879817008972,0.0019999999999999983,0.25,0.0003
206,1687552,33.3470618724823,33.3470618724823,31.7845618724823,45.4029381275177,46.9654381275177,0.0019999999999999983,0.25,0.0003
207,1695744,33.75713288784027,33.75713288784027,32.426024079322815,44.99286711215973,46.323975920677185,0.0019999999999999983,0.25,0.0003
208,1703936,34.10893738269806,34.10893738269806,32.373974323272705,44.64106261730194,46.376025676727295,0.0019999999999999983,0.25,0.0003
209,1712128,33.694151639938354,33.694151639938354,32.45580554008484,45.055848360061646,46.29419445991516,0.0019999999999999983,0.25,0.0003
210,1720320,34.04907941818237,34.04907941818237,32.77687191963196,44.70092058181763,45.97312808036804,0.0019999999999999983,0.25,0.0003
211,1728512,34.36021268367767,34.36021268367767,32.31082022190094,44.38978731632233,46.43917977809906,0.0019999999999999983,0.25,0.0003
212,1736704,34.69283938407898,34.69283938407898,32.56597280502319,44.05716061592102,46.18402719497681,0.0019999999999999983,0.25,0.0003
213,1744896,34.35618042945862,34.35618042945862,31.991118788719177,44.39381957054138,46.75888121128082,0.0019999999999999983,0.25,0.0003
214,1753088,34.64620769023895,34.64620769023895,32.34393656253815,44.10379230976105,46.40606343746185,0.0019999999999999983,0.25,0.0003
215,1761280,34.22451376914978,34.22451376914978,31.617713570594788,44.52548623085022,47.13228642940521,0.0019999999999999983,0.25,0.0003
216,1769472,33.920294642448425,33.920294642448425,32.22330868244171,44.829705357551575,46.52669131755829,0.0019999999999999983,0.25,0.0003
